Run,PC1,PC2,PC3,Organism,country,locality,haplotype,tree_label
SRR12425446,31.0503905389897,-29.4443344459129,-9.43014265658059,Broussonetia papyrifera,Taiwan,"Taiwan, Zhunan Township, Miaoli County",cp01,"Taiwan, Zhunan Township, Miaoli County [cp01]"
SRR12425447,32.3210459108773,-31.3788953420137,-9.31612226376224,Broussonetia papyrifera,Taiwan,"Taiwan, Nanhua District, Tainan City",cp54,"Taiwan, Nanhua District, Tainan City [cp54]"
SRR12425448,32.0346324080871,-30.800549114081,-8.16229811410674,Broussonetia papyrifera,Taiwan,"Taiwan, Hemei Township, Changhua County",cp50,"Taiwan, Hemei Township, Changhua County [cp50]"
SRR12425449,35.9266592554224,-11.6464711547714,-10.6207211429801,Broussonetia papyrifera,Taiwan,"Taiwan, Manjhou Township, Pingtung County",cp17,"Taiwan, Manjhou Township, Pingtung County [cp17]"
SRR12425450,35.5789416203215,-20.1244494644142,-10.2122292078716,Broussonetia papyrifera,Taiwan,"Taiwan, Fenggang Township, Pingtung County",cp17,"Taiwan, Fenggang Township, Pingtung County [cp17]"
SRR12425452,34.2660676455579,-21.8731046441125,-10.8827978065975,Broussonetia papyrifera,Taiwan,"Taiwan, Fangshan Township, Pingtung County",cp17,"Taiwan, Fangshan Township, Pingtung County [cp17]"
SRR12425453,33.0691629396586,-27.4876632498153,-11.2274392977764,Broussonetia papyrifera,Taiwan,"Taiwan, Taiwu Township, Pingtung County",cp17,"Taiwan, Taiwu Township, Pingtung County [cp17]"
SRR12425454,32.7512480420812,-30.0351600834281,-8.14958805496669,Broussonetia papyrifera,Taiwan,"Taiwan, Liukuaicuo, Pingtung City, Pingtung County",cp17,"Taiwan, Liukuaicuo, Pingtung City, Pingtung County [cp17]"
SRR12425455,34.6826411224008,-7.03125068524899,-11.7726221210387,Broussonetia papyrifera,Taiwan,"Taiwan, Chenggong Township, Taitung County",cp16,"Taiwan, Chenggong Township, Taitung County [cp16]"
SRR12425456,35.0605753846225,-5.8301875676885,-9.53271562001093,Broussonetia papyrifera,Taiwan,"Taiwan, Taitung City, Taitung County",cp16,"Taiwan, Taitung City, Taitung County [cp16]"
SRR12425457,29.7092066320555,-26.9141758557193,-6.5986393971566,Broussonetia papyrifera,Taiwan,"Taiwan, Qionglin Township, Hsinchu County",cp01,"Taiwan, Qionglin Township, Hsinchu County [cp01]"
SRR12425458,31.5896734761632,-26.083462146424,-7.53982144017943,Broussonetia papyrifera,Taiwan,"Taiwan, Yujing District, Tainan City",cp16,"Taiwan, Yujing District, Tainan City [cp16]"
SRR12425459,32.4204999060058,-30.1858612539233,-7.94301800807482,Broussonetia papyrifera,Taiwan,"Taiwan, Liukuaicuo, Pingtung City, Pingtung County",cp16,"Taiwan, Liukuaicuo, Pingtung City, Pingtung County [cp16]"
SRR12425460,46.8336535245854,43.2419628798739,19.1196031034288,Broussonetia papyrifera,Tonga,"Tonga, Liahona, Tongatapu",cp17,"Tonga, Liahona, Tongatapu [cp17]"
SRR12425461,37.141426713016,-7.91229964466573,-12.9190924026871,Broussonetia papyrifera,Taiwan,"Taiwan, Hongtou, Lanyu Township, Taitung County",cp16,"Taiwan, Hongtou, Lanyu Township, Taitung County [cp16]"
SRR12425462,32.4405223013499,-23.4849536422491,-10.2472848033619,Broussonetia papyrifera,Taiwan,"Taiwan, Luodong Township, Yilan County",cp01,"Taiwan, Luodong Township, Yilan County [cp01]"
SRR12425463,47.4098785696386,47.7689368325497,21.0415174891855,Broussonetia papyrifera,Indonesia,"Indonesia, Lengkeka, Tengah, Sulawesi",cp17D,"Indonesia, Lengkeka, Tengah, Sulawesi [cp17D]"
SRR12425464,-49.3465905356252,22.2298077432062,-32.7490075724108,Broussonetia papyrifera,Philippines,"Philippines, Los Banos, Laguna, Luzon",cp43,"Philippines, Los Banos, Laguna, Luzon [cp43]"
SRR12425467,-55.8719169429735,26.8456125481021,-39.928635941194,Broussonetia papyrifera,Thailand,"Thailand, Nakhon Pathom, Bangkok",cp20,"Thailand, Nakhon Pathom, Bangkok [cp20]"
SRR12425470,22.5360325754541,2.7057053737305,-42.4655083456433,Broussonetia papyrifera,Japan,"Japan, Kurima, Miyakojima, Okinawa",cp05B,"Japan, Kurima, Miyakojima, Okinawa [cp05B]"
SRR12425471,22.0727395867838,4.65770002823321,-44.7450327959285,Broussonetia papyrifera,Japan,"Japan, Iriomote, Yaeyama, Okinawa",cp05B,"Japan, Iriomote, Yaeyama, Okinawa [cp05B]"
SRR12425472,33.7003843759615,-29.0366036001213,-10.2238859795638,Broussonetia papyrifera,Taiwan,"Taiwan, Fangliao Township, Pingtung County",cp13,"Taiwan, Fangliao Township, Pingtung County [cp13]"
SRR12425473,23.6757313338594,5.33376181106589,-44.257377885281,Broussonetia papyrifera,Japan,"Japan, Taketomi, Yaeyama, Okinawa",cp05B,"Japan, Taketomi, Yaeyama, Okinawa [cp05B]"
SRR12425474,23.829408649063,2.55548646626623,-44.6421176062202,Broussonetia papyrifera,Japan,"Japan, Ishigaki, Yaeyama, Okinawa",cp05B,"Japan, Ishigaki, Yaeyama, Okinawa [cp05B]"
SRR12425475,49.0828352326311,50.6171863763192,22.346582721312,Broussonetia papyrifera,USA,"USA, Kohala, Lapakahi, Big Island, Hawaii",cp17,"USA, Kohala, Lapakahi, Big Island, Hawaii [cp17]"
SRR12425476,-46.8113930479196,19.1495809285519,-30.1555635109716,Broussonetia papyrifera,China,"China, Wuzhishan, Hainan Province",cp20,"China, Wuzhishan, Hainan Province [cp20]"
SRR12425477,-55.9934319997941,23.6784313866218,-29.5749441186886,Broussonetia papyrifera,China,"China, Pingle, Guilin, Guangxi Province",cp20,"China, Pingle, Guilin, Guangxi Province [cp20]"
SRR12425478,-56.4228129737436,21.9982475411665,-29.1800894786514,Broussonetia papyrifera,China,"China, Lipu, Guilin, Guangxi Province",cp32,"China, Lipu, Guilin, Guangxi Province [cp32]"
SRR12425481,-55.9091505134899,17.5059108978467,-20.9111863919885,Broussonetia papyrifera,China,"China, Yangshan, Qingyuan, Guangdong Province",cp31,"China, Yangshan, Qingyuan, Guangdong Province [cp31]"
SRR12425482,-49.7872833545374,14.2634432418827,-17.7117138344108,Broussonetia papyrifera,China,"China, Nanlang, Zhongshan, Guangdong Province",cp28,"China, Nanlang, Zhongshan, Guangdong Province [cp28]"
SRR12425483,28.8749870678424,-28.9768675233786,-8.49042720710948,Broussonetia papyrifera,Taiwan,"Taiwan, Pitou Township, Changhua County",cp13,"Taiwan, Pitou Township, Changhua County [cp13]"
SRR12425492,-42.9326817107525,-0.173991225824689,7.42974050338151,Broussonetia papyrifera,China,"China, Yanping District, Longyan, Fujian Province",cp29,"China, Yanping District, Longyan, Fujian Province [cp29]"
SRR12425494,32.2690158687788,-30.3382155024944,-9.62518989215343,Broussonetia papyrifera,Taiwan,"Taiwan, Yujing District, Tainan City",cp09,"Taiwan, Yujing District, Tainan City [cp09]"
SRR12425501,37.0812669477152,-10.6296116993082,-12.7765377811091,Broussonetia papyrifera,Taiwan,"Taiwan, Hualien County, Hualien County",cp06,"Taiwan, Hualien County, Hualien County [cp06]"
SRR12425504,47.4120663631445,48.5164582412858,21.3579440751361,Broussonetia papyrifera,Chile,"Chile, RanoKau, Easter Island",gaby003,"Chile, RanoKau, Easter Island [gaby003]"
SRR12425505,27.5841383781128,-21.685170058479,-7.66972067505221,Broussonetia papyrifera,Taiwan,"Taiwan, Fangliao Township, Pingtung County",cp09,"Taiwan, Fangliao Township, Pingtung County [cp09]"
SRR12425506,46.6838096018007,48.0952304525904,21.2199990149796,Broussonetia papyrifera,Chile,"Chile, HangaOteo, Easter Island",cp17,"Chile, HangaOteo, Easter Island [cp17]"
SRR12425507,47.5917771819587,48.4539511710545,21.6204393090035,Broussonetia papyrifera,French Polynesia,"French Polynesia, Ahurei, Rapa Iti",cp17,"French Polynesia, Ahurei, Rapa Iti [cp17]"
SRR12425508,48.0962868568743,49.6546881455566,21.8326477867293,Broussonetia papyrifera,Wallis and Futuna,"Wallis and Futuna, Wallis",cp17,"Wallis and Futuna, Wallis [cp17]"
SRR12425509,48.481066981674,49.6148840034506,21.9840475021801,Broussonetia papyrifera,French Polynesia,"French Polynesia, Tahiti",cp17,"French Polynesia, Tahiti [cp17]"
SRR12425510,45.1726613094157,46.4011235966362,20.555636064818,Broussonetia papyrifera,Fiji,"Fiji, Taveuni Island",cp17B,"Fiji, Taveuni Island [cp17B]"
SRR12425511,48.8004690236201,49.9280693898122,21.940601677094,Broussonetia papyrifera,Fiji,"Fiji, Taveuni Island",cp17,"Fiji, Taveuni Island [cp17]"
SRR12425512,45.2579949336601,46.5750297148626,20.5530440348077,Broussonetia papyrifera,Fiji,"Fiji, VanuaLevu",cp17,"Fiji, VanuaLevu [cp17]"
SRR12425513,48.7137537953135,50.3016821688894,22.2235291465111,Broussonetia papyrifera,Fiji,"Fiji, Suva, Vitilevu",cp17,"Fiji, Suva, Vitilevu [cp17]"
SRR12425514,46.4007129322428,47.7308030965967,20.9895370222702,Broussonetia papyrifera,Tonga,"Tonga, Mangia, Vava'u",cp17,"Tonga, Mangia, Vava'u [cp17]"
SRR12425516,33.930286441346,-28.3492282497284,-7.35905522803049,Broussonetia papyrifera,Taiwan,"Taiwan, Pingtung City, Pingtung County",cp09,"Taiwan, Pingtung City, Pingtung County [cp09]"
SRR12425520,-54.1783865249156,25.1690660072835,-34.3056740620423,Broussonetia papyrifera,Viet Nam,"Viet Nam, Chuong My, Ha Noi",cp35,"Viet Nam, Chuong My, Ha Noi [cp35]"
SRR12425521,-57.2453766955654,26.4565542018432,-37.3402730580184,Broussonetia papyrifera,USA,"USA, Waimea, Big Island, Hawaii",cp41,"USA, Waimea, Big Island, Hawaii [cp41]"
SRR12425522,-45.7847872486052,25.6511109711718,-29.2787982017007,Broussonetia papyrifera,USA,"USA, Waimea Valley, Oahu, Hawaii",cp41,"USA, Waimea Valley, Oahu, Hawaii [cp41]"
SRR12425523,47.6312664671111,48.9312352106939,21.7251435668427,Broussonetia papyrifera,USA,"USA, Bishop Museum, Oahu, Hawaii",cp17,"USA, Bishop Museum, Oahu, Hawaii [cp17]"
SRR12425524,-34.1267152565722,-11.4394295061172,27.010623376128,Broussonetia papyrifera,China,"China, Xuanwu, Nanjing, Jiangsu Province",cp53,"China, Xuanwu, Nanjing, Jiangsu Province [cp53]"
SRR12425525,-50.472231630027,24.1635759310444,-30.5813518583757,Broussonetia papyrifera,China,"China, Longzhou, Chongzuo, Guangxi Province",cp34,"China, Longzhou, Chongzuo, Guangxi Province [cp34]"
SRR12425526,-50.0857148550773,23.9641870058054,-30.9600764684551,Broussonetia papyrifera,China,"China, Longzhou, Chongzuo, Guangxi Province",cp39,"China, Longzhou, Chongzuo, Guangxi Province [cp39]"
SRR12425527,30.1544663127806,-30.3233821192097,-8.59060951848239,Broussonetia papyrifera,Taiwan,"Taiwan, Qingshui District, Taichung City",cp09,"Taiwan, Qingshui District, Taichung City [cp09]"
SRR12425529,-52.2896989483993,17.6064763019816,-22.3298674200933,Broussonetia papyrifera,China,"China, Huicheng , Huizhou, Guangdong Province",cp26,"China, Huicheng , Huizhou, Guangdong Province [cp26]"
SRR12425532,-50.8646496087302,16.9023674183435,-23.9643209610103,Broussonetia papyrifera,China,"China, Nanlang, Zhongshan, Guangdong Province",cp21,"China, Nanlang, Zhongshan, Guangdong Province [cp21]"
SRR12425533,-53.7912741358783,17.9176516367096,-23.0649982802042,Broussonetia papyrifera,China,"China, Huicheng , Huizhou, Guangdong Province",cp21,"China, Huicheng , Huizhou, Guangdong Province [cp21]"
SRR12425534,-48.0752925600241,13.7900858343121,-16.0801846235795,Broussonetia papyrifera,China,"China, Boluo, Huizhou, Guangdong Province",cp01,"China, Boluo, Huizhou, Guangdong Province [cp01]"
SRR12425535,-50.9325855668146,12.6022077260811,-16.8480616522954,Broussonetia papyrifera,China,"China, Boluo, Huizhou, Guangdong Province",cp01,"China, Boluo, Huizhou, Guangdong Province [cp01]"
SRR12425536,-36.9709942472853,-8.13285368305101,22.9065751411121,Broussonetia papyrifera,China,"China, Yanping, Nanping, Fujian Province",cp20,"China, Yanping, Nanping, Fujian Province [cp20]"
SRR12425537,-47.8176785575326,11.2854574436293,-12.4533837634837,Broussonetia papyrifera,China,"China, Liancheng, Longyan, Fujian Province",cp45,"China, Liancheng, Longyan, Fujian Province [cp45]"
