#92 total breaks in 90 contigs
#orig_contig	fragment	break_start	break_end	fragment_len
contig_11940_np12	contig_11940_np12:::fragment_2:::debris	103962	110962	7000
contig_11940_np12	contig_11940_np12:::fragment_3	110962	164968	54006
contig_11971_np12	contig_11971_np12:::fragment_1	0	31612	31612
contig_11971_np12	contig_11971_np12:::fragment_2:::debris	31612	33498	1886
contig_12047_np12	contig_12047_np12:::fragment_1	0	9975	9975
contig_12047_np12	contig_12047_np12:::fragment_2:::debris	9975	20975	11000
contig_12047_np12	contig_12047_np12:::fragment_3	20975	22479	1504
contig_1349_np12	contig_1349_np12:::fragment_1	0	26117	26117
contig_1349_np12	contig_1349_np12:::fragment_2:::debris	26117	29380	3263
contig_1432_np12	contig_1432_np12:::fragment_1	0	133909	133909
contig_1432_np12	contig_1432_np12:::fragment_2:::debris	133909	139909	6000
contig_1432_np12	contig_1432_np12:::fragment_3	139909	227956	88047
contig_1477_np12	contig_1477_np12:::fragment_1	0	106999	106999
contig_1477_np12	contig_1477_np12:::fragment_2:::debris	106999	110999	4000
contig_1477_np12	contig_1477_np12:::fragment_3	110999	167601	56602
contig_1763_np12	contig_1763_np12:::fragment_1:::debris	0	2650	2650
contig_1763_np12	contig_1763_np12:::fragment_2	2650	18431	15781
contig_1819_np12	contig_1819_np12:::fragment_1	0	57093	57093
contig_1819_np12	contig_1819_np12:::fragment_2:::debris	57093	62093	5000
contig_1819_np12	contig_1819_np12:::fragment_3	62093	98590	36497
contig_1877_np12	contig_1877_np12:::fragment_1	0	80062	80062
contig_1877_np12	contig_1877_np12:::fragment_2:::debris	80062	89062	9000
contig_1877_np12	contig_1877_np12:::fragment_3	89062	134945	45883
contig_1940_np12	contig_1940_np12:::fragment_1	0	38124	38124
contig_1940_np12	contig_1940_np12:::fragment_2:::debris	38124	39124	1000
contig_1940_np12	contig_1940_np12:::fragment_3	39124	83172	44048
contig_1956_np12	contig_1956_np12:::fragment_1:::debris	0	20258	20258
contig_1956_np12	contig_1956_np12:::fragment_2	20258	36762	16504
contig_2006_np12	contig_2006_np12:::fragment_1	0	74032	74032
contig_2006_np12	contig_2006_np12:::fragment_2:::debris	74032	79032	5000
contig_2006_np12	contig_2006_np12:::fragment_3	79032	116859	37827
contig_2076_np12	contig_2076_np12:::fragment_1	0	77620	77620
contig_2076_np12	contig_2076_np12:::fragment_2:::debris	77620	80923	3303
contig_2080_np12	contig_2080_np12:::fragment_1	0	80579	80579
contig_2080_np12	contig_2080_np12:::fragment_2:::debris	80579	85579	5000
contig_2080_np12	contig_2080_np12:::fragment_3	85579	121045	35466
contig_2104_np12	contig_2104_np12:::fragment_1	0	35605	35605
contig_2104_np12	contig_2104_np12:::fragment_2:::debris	35605	53975	18370
contig_2240_np12	contig_2240_np12:::fragment_1	0	23938	23938
contig_2240_np12	contig_2240_np12:::fragment_2:::debris	23938	37383	13445
contig_2363_np12	contig_2363_np12:::fragment_1:::debris	0	32221	32221
contig_2363_np12	contig_2363_np12:::fragment_2	32221	37496	5275
contig_25_np12	contig_25_np12:::fragment_1:::debris	0	2347	2347
contig_25_np12	contig_25_np12:::fragment_2	2347	232757	230410
contig_2715_np12	contig_2715_np12:::fragment_1:::debris	0	16468	16468
contig_2715_np12	contig_2715_np12:::fragment_2	16468	18940	2472
contig_3058_np12	contig_3058_np12:::fragment_1	0	17609	17609
contig_3058_np12	contig_3058_np12:::fragment_2:::debris	17609	18609	1000
contig_3058_np12	contig_3058_np12:::fragment_3	18609	28843	10234
contig_3387_np12	contig_3387_np12:::fragment_1	0	16408	16408
contig_3387_np12	contig_3387_np12:::fragment_2:::debris	16408	18408	2000
contig_3387_np12	contig_3387_np12:::fragment_3	18408	79188	60780
contig_3483_np12	contig_3483_np12:::fragment_1	0	120067	120067
contig_3483_np12	contig_3483_np12:::fragment_2:::debris	120067	121173	1106
contig_3599_np12	contig_3599_np12:::fragment_1	0	8076	8076
contig_3599_np12	contig_3599_np12:::fragment_2:::debris	8076	21854	13778
contig_3636_np12	contig_3636_np12:::fragment_1	0	24629	24629
contig_3636_np12	contig_3636_np12:::fragment_2:::debris	24629	32482	7853
contig_363_np12	contig_363_np12:::fragment_1	0	6580	6580
contig_363_np12	contig_363_np12:::fragment_2:::debris	6580	17330	10750
contig_3991_np12	contig_3991_np12:::fragment_1	0	142763	142763
contig_3991_np12	contig_3991_np12:::fragment_2:::debris	142763	148763	6000
contig_3991_np12	contig_3991_np12:::fragment_3	148763	211432	62669
contig_4322_np12	contig_4322_np12:::fragment_1	0	15321	15321
contig_4322_np12	contig_4322_np12:::fragment_2:::debris	15321	16321	1000
contig_4322_np12	contig_4322_np12:::fragment_3	16321	26001	9680
contig_4412_np12	contig_4412_np12:::fragment_1:::debris	0	11625	11625
contig_4412_np12	contig_4412_np12:::fragment_2	11625	20137	8512
contig_4424_np12	contig_4424_np12:::fragment_1	0	17529	17529
contig_4424_np12	contig_4424_np12:::fragment_2:::debris	17529	31095	13566
contig_4795_np12	contig_4795_np12:::fragment_1:::debris	0	3672	3672
contig_4795_np12	contig_4795_np12:::fragment_2	3672	48089	44417
contig_4837_np12	contig_4837_np12:::fragment_1	0	38723	38723
contig_4837_np12	contig_4837_np12:::fragment_2:::debris	38723	63872	25149
contig_4910_np12	contig_4910_np12:::fragment_1	0	40818	40818
contig_4910_np12	contig_4910_np12:::fragment_2:::debris	40818	45818	5000
contig_4910_np12	contig_4910_np12:::fragment_3	45818	93682	47864
contig_4971_np12	contig_4971_np12:::fragment_1	0	55320	55320
contig_4971_np12	contig_4971_np12:::fragment_2:::debris	55320	74377	19057
contig_5010_np12	contig_5010_np12:::fragment_1	0	49059	49059
contig_5010_np12	contig_5010_np12:::fragment_2:::debris	49059	62059	13000
contig_5010_np12	contig_5010_np12:::fragment_3	62059	174809	112750
contig_502_np12	contig_502_np12:::fragment_1	0	83680	83680
contig_502_np12	contig_502_np12:::fragment_2:::debris	83680	85680	2000
contig_502_np12	contig_502_np12:::fragment_3	85680	145329	59649
contig_5050_np12	contig_5050_np12:::fragment_1:::debris	0	5213	5213
contig_5050_np12	contig_5050_np12:::fragment_2	5213	67468	62255
contig_5145_np12	contig_5145_np12:::fragment_1	0	19589	19589
contig_5145_np12	contig_5145_np12:::fragment_2:::debris	19589	27358	7769
contig_5269_np12	contig_5269_np12:::fragment_1	0	9320	9320
contig_5269_np12	contig_5269_np12:::fragment_2:::debris	9320	27776	18456
contig_5299_np12	contig_5299_np12:::fragment_1:::debris	0	18852	18852
contig_5299_np12	contig_5299_np12:::fragment_2	18852	25206	6354
contig_5925_np12	contig_5925_np12:::fragment_1:::debris	0	9225	9225
contig_5925_np12	contig_5925_np12:::fragment_2	9225	42713	33488
contig_6134_np12	contig_6134_np12:::fragment_1:::debris	0	4667	4667
contig_6134_np12	contig_6134_np12:::fragment_2	4667	41415	36748
contig_6205_np12	contig_6205_np12:::fragment_1:::debris	0	28231	28231
contig_6205_np12	contig_6205_np12:::fragment_2	28231	35910	7679
contig_6292_np12	contig_6292_np12:::fragment_1:::debris	0	12851	12851
contig_6292_np12	contig_6292_np12:::fragment_2	12851	43851	31000
contig_6292_np12	contig_6292_np12:::fragment_3:::debris	43851	49638	5787
contig_633_np12	contig_633_np12:::fragment_1	0	41245	41245
contig_633_np12	contig_633_np12:::fragment_2:::debris	41245	49823	8578
contig_6358_np12	contig_6358_np12:::fragment_1	0	12252	12252
contig_6358_np12	contig_6358_np12:::fragment_2:::debris	12252	24051	11799
contig_665_np12	contig_665_np12:::fragment_1	0	873	873
contig_665_np12	contig_665_np12:::fragment_2:::debris	873	1873	1000
contig_665_np12	contig_665_np12:::fragment_3	1873	46150	44277
contig_668_np12	contig_668_np12:::fragment_1	0	11687	11687
contig_668_np12	contig_668_np12:::fragment_2:::debris	11687	22424	10737
contig_6958_np12	contig_6958_np12:::fragment_1	0	37475	37475
contig_6958_np12	contig_6958_np12:::fragment_2:::debris	37475	40475	3000
contig_6958_np12	contig_6958_np12:::fragment_3	40475	65292	24817
contig_699_np12	contig_699_np12:::fragment_1	0	72428	72428
contig_699_np12	contig_699_np12:::fragment_2:::debris	72428	77428	5000
contig_699_np12	contig_699_np12:::fragment_3	77428	109641	32213
contig_710_np12	contig_710_np12:::fragment_1	0	136123	136123
contig_710_np12	contig_710_np12:::fragment_2:::debris	136123	152123	16000
contig_710_np12	contig_710_np12:::fragment_3	152123	249570	97447
contig_7161_np12	contig_7161_np12:::fragment_1:::debris	0	13849	13849
contig_7161_np12	contig_7161_np12:::fragment_2	13849	16240	2391
contig_7194_np12	contig_7194_np12:::fragment_1	0	51487	51487
contig_7194_np12	contig_7194_np12:::fragment_2:::debris	51487	56585	5098
contig_726_np12	contig_726_np12:::fragment_1	0	94863	94863
contig_726_np12	contig_726_np12:::fragment_2:::debris	94863	119863	25000
contig_726_np12	contig_726_np12:::fragment_3	119863	228043	108180
contig_7407_np12	contig_7407_np12:::fragment_1:::debris	0	3240	3240
contig_7407_np12	contig_7407_np12:::fragment_2	3240	19443	16203
contig_7474_np12	contig_7474_np12:::fragment_1:::debris	0	14516	14516
contig_7474_np12	contig_7474_np12:::fragment_2	14516	25892	11376
contig_7498_np12	contig_7498_np12:::fragment_1:::debris	0	2544	2544
contig_7498_np12	contig_7498_np12:::fragment_2	2544	69833	67289
contig_7660_np12	contig_7660_np12:::fragment_1	0	12409	12409
contig_7660_np12	contig_7660_np12:::fragment_2:::debris	12409	18826	6417
contig_7689_np12	contig_7689_np12:::fragment_1	0	14294	14294
contig_7689_np12	contig_7689_np12:::fragment_2:::debris	14294	17294	3000
contig_7689_np12	contig_7689_np12:::fragment_3	17294	36234	18940
contig_7948_np12	contig_7948_np12:::fragment_1	0	44059	44059
contig_7948_np12	contig_7948_np12:::fragment_2:::debris	44059	49059	5000
contig_7948_np12	contig_7948_np12:::fragment_3	49059	139016	89957
contig_8304_np12	contig_8304_np12:::fragment_1	0	18624	18624
contig_8304_np12	contig_8304_np12:::fragment_2:::debris	18624	40555	21931
contig_8443_np12	contig_8443_np12:::fragment_1:::debris	0	8365	8365
contig_8443_np12	contig_8443_np12:::fragment_2	8365	16389	8024
contig_8579_np12	contig_8579_np12:::fragment_1	0	14979	14979
contig_8579_np12	contig_8579_np12:::fragment_2:::debris	14979	15979	1000
contig_8579_np12	contig_8579_np12:::fragment_3	15979	58998	43019
contig_8626_np12	contig_8626_np12:::fragment_1:::debris	0	3328	3328
contig_8626_np12	contig_8626_np12:::fragment_2	3328	21139	17811
contig_9137_np12	contig_9137_np12:::fragment_1:::debris	0	21139	21139
contig_9137_np12	contig_9137_np12:::fragment_2	21139	45654	24515
contig_9209_np12	contig_9209_np12:::fragment_1:::debris	0	22943	22943
contig_9209_np12	contig_9209_np12:::fragment_2	22943	50001	27058
contig_9243_np12	contig_9243_np12:::fragment_1	0	10057	10057
contig_9243_np12	contig_9243_np12:::fragment_2:::debris	10057	11057	1000
contig_9243_np12	contig_9243_np12:::fragment_3	11057	41520	30463
contig_9431_np12	contig_9431_np12:::fragment_1	0	15007	15007
contig_9431_np12	contig_9431_np12:::fragment_2:::debris	15007	18007	3000
contig_9431_np12	contig_9431_np12:::fragment_3	18007	38444	20437
contig_9469_np12	contig_9469_np12:::fragment_1:::debris	0	1830	1830
contig_9469_np12	contig_9469_np12:::fragment_2	1830	119327	117497
contig_958_np12	contig_958_np12:::fragment_1	0	109370	109370
contig_958_np12	contig_958_np12:::fragment_2:::debris	109370	116370	7000
contig_958_np12	contig_958_np12:::fragment_3	116370	225571	109201
contig_9905_np12	contig_9905_np12:::fragment_1:::debris	0	2135	2135
contig_9905_np12	contig_9905_np12:::fragment_2	2135	30319	28184
contig_9972_np12	contig_9972_np12:::fragment_1:::debris	0	7342	7342
contig_9972_np12	contig_9972_np12:::fragment_2	7342	37557	30215
